Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Acer Swift 3 SF314-44-R2U3 (NX.K0WSV.001) (Ryzen 5-5625U) (Hồng),20990000,ACER,"AMD Ryzen 5 5625U ( 2.3 GHz - 4.3 GHz / 16MB / 6 nhân, 12 luồng ) Ryzen 5 5625U",16,14,Onboard  AMD Radeon Graphics,SSD,512,Windows 11 Home  Windows 11,1.2,,,Phongvu,https://phongvu.vn/acer-swift-3-sf314-44-r2u3-nx-k0wsv-001--s220909327?sku=220909327
Laptop HP 15s-fq5145TU (76B24PA) (i7-1255U) (Bạc),18890000,HP,"Intel Core i7-1255U ( 3.5 GHz - 4.7GHz / 12MB / 10 nhân, 12 luồng ) i7-1255U",2 x 4GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),15.6,Onboard  Intel HD Graphics,SSD,256,Windows 11 Home  Windows 11,1.7,,,Phongvu,https://phongvu.vn/laptop-hp-15s-fq5145tu-76b24pa--s220911370?sku=220911370
Laptop Lenovo S14 G3 IAP-82TW0029VN (I5-1235U)  (Xám),17990000,Lenovo,"Intel Core i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ) i5-1235U",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,FreeDOS,1.4,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-s14-g3-iap-82tw0029vn-i5-1235u-xam--s221002803?sku=221002803
Laptop HP EliteBook 840 G9 (6Z969PA) (i5-1240P) (Bạc),30590000,HP,"Intel Core i5-1240P ( 1.7 GHz - 4.4 GHz / 12MB / 12 nhân, 16 luồng ) i5-1240P",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 11 Pro  Windows 11 Pro,1.3,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-elitebook-840-g9-6z969pa-i5-1240p-bac--s221002899?sku=221002899
Laptop MSI Modern 15 B12M-220VN (i5-1235U) (Đen),16590000,MSI,"Intel Core i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ) i5-1235U",8,15.6,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 11 Home  Windows 11,1.7,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-modern-15-b12m-220vn-i5-1235u-den--s221100415?sku=221100415
Laptop HP Victus 16-e1105AX (7C0T0PA) (AMD Ryzen 5 6600H) (Xanh),27990000,HP,"AMD Ryzen 5 6600H ( 3.3 GHz - 4.5 GHz / 16MB / 6 nhân, 12 luồng ) Ryzen 5 6600H",8,16.1,RTX 3050Ti  4GB  GDDR6 / AMD Radeon 660M,SSD,512,Windows 11 Home SL  Windows 11,2.5,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-e1105ax-7c0t0pa-amd-ryzen-5-6600h-xanh--s221101323?sku=221101323
Laptop HP Victus 16-e1106AX (7C0T1PA) (AMD Ryzen 5 6600H) (Đen),26490000,HP,"AMD Ryzen 5 6600H ( 3.3 GHz - 4.5 GHz / 16MB / 6 nhân, 12 luồng ) Ryzen 5 6600H",8,16.1,RTX 3050Ti  4GB  GDDR6 / AMD Radeon 660M,SSD,512,Windows 11 Home SL  Windows 11,2.5,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-e1106ax-7c0t1pa-amd-ryzen-5-6600h-den--s221101324?sku=221101324
Laptop HP Victus 16-d1187TX (7C0S4PA) (i7-12700H) (Đen),32990000,HP,"Intel Core i7-12700H ( 2.3 GHz - 4.7 GHz / 24MB / 14 nhân, 20 luồng ) i7-12700H",8,16.1,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,SSD,512,Windows 11 Home SL  Windows 11,2.5,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-d1187tx-7c0s4pa-i7-12700h-den--s221101326?sku=221101326
Laptop HP Victus 15-fa0110TX (7C0R3PA) (i7-12700H) (Đen),30490000,HP,"Intel Core i7-12700H ( 2.3 GHz - 4.7 GHz / 24MB / 14 nhân, 20 luồng ) i7-12700H",8,15.6,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,SSD,512,Windows 11 Home SL  Windows 11,2.3,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-15-fa0110tx-7c0r3pa-i7-12700h-den--s221101327?sku=221101327
Laptop HP Victus 16-e1102AX (7C139PA) (AMD Ryzen 7 6800H) (Xanh),30190000,HP,"AMD Ryzen 7 6800H ( 3.2 GHz - 4.7 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 6800H",8,16.1,RTX 3050Ti  4GB  GDDR6 / AMD Radeon 680M,SSD,512,Windows 11 Home SL  Windows 11,2.4,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-e1102ax-7c139pa-amd-ryzen-7-6800h-xanh--s221101329?sku=221101329
Laptop HP Victus 15-fa0111TX (7C0R4PA) (i5-12500H) (Xanh),27690000,HP,"Intel Core i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ) i5-12500H",8,15.6,RTX 3050Ti  4GB  GDDR6 / Intel Iris Xe Graphics,SSD,512,Windows 11 Home SL  Windows 11,2.3,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-15-fa0111tx-7c0r4pa-i5-12500h-xanh--s221101330?sku=221101330
Laptop MSI Gaming GF63 Thin 11SC-665VN (i5-11400H) (Đen),17490000,MSI,"Intel Core i5-11400H ( 2.7 GHz - 4.5 GHz / 12MB / 6 nhân, 12 luồng ) i5-11400H",8,15.6,GTX 1650  4GB  GDDR6 / Intel UHD Graphics,SSD,512,Windows 11 Home  Windows 11,1.9,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-gaming-gf63-thin-11sc-665vn-i5-11400h-den--s221101658?sku=221101658
Laptop HP 15s-fq5146TU (7C0R9PA) (i7-1255U) (Xanh),19690000,HP,"Intel Core i7-1255U ( 1.7 GHz - 4.7 GHz / 12MB / 10 nhân, 12 luồng ) i7-1255U",2 x 4GB  DDR4  3200MHz ( 2 Khe cắm,15.6,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 11 Home SL  Windows 11,1.7,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-15s-fq5146tu-core-i7-1255u--s221101767?sku=221101767
Laptop Lenovo Ideapad 330-15IKBR 81DE010CVN (i3-7020U) (Đen),11990000,Lenovo,"Intel Core i3-7020U ( 2.3 GHz / 3MB / 2 nhân, 4 luồng ) i3-7020U",1 x 4GB Onboard  DDR4  2133MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),15.6,Radeon 530  2GB  GDDR5 / Intel HD Graphics 620,HDD,512,Windows 10 Home SL 64-bit  Windows 10,2.2,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-ideapad-330-15ikbr-81de010cvn-i3-7020u-den--s1808260?sku=1808260
Laptop Acer Nitro 5 AN515-55-70AX (NH.Q7NSV.001) (i7-10750H) (Đen),22990000,ACER,"Intel Core i7-10750H ( 2.6 GHz - 5.0 GHz / 12MB / 6 nhân, 12 luồng ) i7-10750H",8,15.6,GTX 1650Ti  4GB  GDDR6 / Intel UHD Graphics,SSD,512,Windows 10 Home 64-bit  Windows 10,2.3,,,Phongvu,https://phongvu.vn/acer-nitro-5-an5155570ax-nhq7nsv001--s200500783?sku=200500783
Laptop Acer Aspire 5 A514-54-51VT (NX.A23SV.004) (i5-1135G7) (Bạc),15990000,ACER,"Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng ) i5-1135G7",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 10 Home 64-bit  Windows 10,1.5,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-5-a514-54-51vt-nx-a23sv-004-i5-1135g7-bac--s201100332?sku=201100332
Laptop Acer Swift 5 SF514-55T-51NZ (NX.HX9SV.002) (i5-1135G7) (Vàng),24190000,ACER,"Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng ) i5-1135G7",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 10 Home 64-bit  Windows 10,1,,,Phongvu,https://phongvu.vn/acer-swift-5-sf514-55t-51nz-nx-hx9sv--s201100334?sku=201100334
Laptop Acer Swift 3 SF313-53-503A (NX.A4JSV.002) (i5-1135G7) (Bạc),20490000,ACER,"Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng ) i5-1135G7",8,13.5,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 10 Home 64-bit  Windows 10,1.2,,,Phongvu,https://phongvu.vn/acer-swift-3-sf313-53-503a-nx-a4jsv-002--s201100387?sku=201100387
Laptop Acer Aspire 7 A715-42G-R4ST (NH.QAYSV.004) (AMD Ryzen 5 5500U) (Đen),19490000,ACER,"AMD Ryzen 5 5500U ( 2.1 GHz - 4.0 GHz / 8MB / 6 nhân, 12 luồng ) Ryzen 5 5500U",8,15.6,GTX 1650  4GB  GDDR6 / AMD Radeon Graphics,SSD,256,Windows 10 Home 64-bit  Windows 10,2.1,,,Phongvu,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-7-a715-42g-r4st-nh-qaysv-004-amd-ryzen-5-5500h-den--s210300340?sku=210300340
Laptop Acer Nitro 5 AN515-45-R9SC (NH.QBRSV.001) (AMD Ryzen 7 5800H) (Đen),37190000,ACER,"Ryzen 7 5800H ( 3.2 GHz - 4.4 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 5800H",8,15.6,RTX 3070  8GB  GDDR6 / AMD Radeon Graphics,SSD,512,Windows 10 Home 64-bit  Windows 10,2.2,,,Phongvu,https://phongvu.vn/acer-nitro-5-an515-45-r9sc-nh-qbrsv-001--s210400696?sku=210400696
Laptop Acer Swift 3 SF313-53-518Y (NX.A4JSV.003) (i5-1135G7) (Bạc),17990000,ACER,"Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng ) i5-1135G7",16,13.5,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 10 Home 64-bit  Windows 10,1.2,,,Phongvu,https://phongvu.vn/acer-swift-3-sf313-53-518y-nx-a4jsv-003--s210400698?sku=210400698
