Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Asus TUF Gaming FX507ZM i7 12700H/16GB/512GB/6GB RTX3060/144Hz/Win11 (HN123W),41990000,Asus,Intel Core i5 Tiger Lake,16,15.6,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,2.2,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx507z-i7-hn123w
Laptop Asus Zenbook 14X OLED Space Edition UX5401ZAS i7 12700H/16GB/1TB/Cáp/Túi/Win11 (KN070W),36490000,Asus,Intel Core i5 Tiger Lake,16,14,Card tích hợp - Intel Iris Xe Graphics,SSD,1 TB SSD M.2 PCIe,Windows 11 Home SL,1.4,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-zenbook-14x-oled-space-edition-ux5401zas-i7-kn070w
Laptop Apple MacBook Air M1 2020 16GB/512GB/8-core GPU,39490000,MacBook,Apple M1,16,13.3,Card tích hợp - 8 nhân GPU,SSD,512 GB SSD,Mac OS,1.29,,2020,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-air-m1-2020-8-core-gpu
Laptop Apple MacBook Air M2 2022 16GB/256GB/8-core GPU (Z16000051),38990000,MacBook,Apple M1,16,13.6,Card tích hợp - 8 nhân GPU,SSD,256 GB SSD,Mac OS,1.24,,6/2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-air-m2-2022-16gb-256gb
Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB/Win11 (82EV00AWVN),34190000,Lenovo,Intel Core i7 Tiger Lake,16,13.3,Card tích hợp - Intel Iris Xe Graphics,SSD,1 TB SSD M.2 PCIe,Windows 11 Home SL,0.966,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i7-82ev00awvn
Laptop Lenovo Yoga 7 14IAL7 i7 1260P/16GB/512GB/Touch/Pen/Win11 (82QE000QVN),33190000,Lenovo,Intel Core i7 Tiger Lake,16,14,Card tích hợp - Intel Iris Xe Graphics,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,1.42,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lenovo-yoga-7-14ial7-i7-82qe000qvn
Laptop Acer Nitro 5 Gaming AN515 45 R86D R7 5800H/8GB/512GB/6GB RTX3060/144Hz/Win11 (NH.QBCSV.005),32490000,Acer,AMD Ryzen 7,8,15.6,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",Windows 11 Home SL,2.2,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-45-r86d-r7-nhqbcsv005
Laptop HP Envy X360 13 bf0090TU i7 1250U/16GB/512GB/Touch/Pen/Win11 (76B13PA),32990000,HP,AMD Ryzen 7,16,13.3,Card tích hợp - Intel Iris Xe Graphics,SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL,1.34,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/hp-envy-x360-13-bf0090tu-i7-76b13pa
Laptop Acer Nitro 5 Tiger AN515 58 773Y i7 12700H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001),31990000,Acer,AMD Ryzen 7,8,15.6,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB),Windows 11 Home SL,2.5,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001
Laptop Apple MacBook Pro M1 2020 8GB/512GB (MYD92SA/A),40190000,MacBook,Apple M1,8,13.3,Card tích hợp - 8 nhân GPU,SSD,512 GB SSD,Mac OS,1.4,,2020,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-pro-2020-myd92saa
Laptop Asus Vivobook Pro 15 OLED K6502Z i7 12650H/16GB/512GB/4GB RTX3050/Win11 (MA036W),31190000,Asus,Apple M1,16,15.6,"Card rời - NVIDIA GeForce RTX3050, 4 GB",SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL,1.8,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-vivobook-pro-15-oled-k6502z-i7-ma036w
