id,name,brand,cpu,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,shop,price,url
618,HP 240 G8,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,512,SSD,Windows 10,1.4,Phongvu,8990000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g8-519a8pa-i3-1005g1-bac--s211001897?sku=211001897
619,Acer Aspire 3 A315-58G-50S4,ACER,Core i5,Intel,4,15.6,GeForce MX350 (2GB),Nvidia,512,SSD,Windows 10,1.7,Phongvu,15190000,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a315-58g-50s4-nx-adusv-001-i5-1135g7-bac--s211101852?sku=211101852
620,MSI Bravo 15 B5DD-276VN,MSI,AMD Ryzen 5,AMD,8,15.6,Radeon Vega,AMD,512,SSD,Windows 11,1.9,Phongvu,15990000,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-bravo-15-b5dd-276vn-amd-ryzen-5-5600h-den--s211105059?sku=211105059
621,MSI Modern 15 A5M-238VN,MSI,AMD Ryzen 5,AMD,8,15.6,Radeon Vega,AMD,512,SSD,Windows 11,1.6,Phongvu,15290000,https://phongvu.vn/msi-modern-15-a5m-238vn--s211105063?sku=211105063
622,Acer Nitro 5 AN515-57-5669,ACER,Core i5,Intel,8,15.6,GeForce GTX1650 (4GB),Nvidia,512,SSD,Windows 11,2.2,Phongvu,21590000,https://phongvu.vn/acer-nitro-5-an515-57-5669-nh-qehsv-001--s211112847?sku=211112847
623,Dell Vostro 14 3400,DELL,Core i5,Intel,8,14.0,GeForce MX330 (2GB),Nvidia,512,SSD,Windows 11,1.6,Phongvu,17990000,https://phongvu.vn/dell-vostro-14-3400-yx51w5--s211205933?sku=211205933
624,Asus UX325EA-KG656W,ASUS,Core i5,Intel,8,13.3,Intel Iris Xe,Intel,512,SSD,Windows 11,1.2,Phongvu,20790000,https://phongvu.vn/asus-zenbook-13-ux325ea-kg656w--s211210638?sku=211210638
625,HP 240 G8,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,512,SSD,Windows 11,1.4,Phongvu,8990000,https://phongvu.vn/laptop-hp-240-g8-617k2pa--s220301170?sku=220301170
626,HP 240 G8,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,256,SSD,Windows 11,1.4,Phongvu,8990000,https://phongvu.vn/laptop-hp-240-g8-617k5pa--s220301171?sku=220301171
627,Asus Zenbook UM3402YA-KM074W,ASUS,AMD Ryzen 5,AMD,8,14.0,Radeon Vega,AMD,512,SSD,Windows 11,1.4,Phongvu,21790000,https://phongvu.vn/asus-zenbook-um3402ya-km074w--s220401038?sku=220401038
628,Asus ROG Zephyrus G14 GA401QC-K2199W,ASUS,AMD Ryzen 7,AMD,8,14.0,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,1.6,Phongvu,29090000,https://phongvu.vn/asus-rog-zephyrus-g14-ga401qc-k2199w--s220500091?sku=220500091
629,Dell Inspiron 5620,DELL,Core i5,Intel,8,16.0,GeForce MX570 (2GB),Nvidia,512,SSD,Windows 11,1.9,Phongvu,27790000,https://phongvu.vn/dell-inspiron-5620-5620-n6i5003w1--s220700456?sku=220700456
630,Asus UX3402Z UX3402ZA-KM220W,ASUS,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,24390000,https://phongvu.vn/asus-zenbook-ux3402z-km220w--s220700613?sku=220700613
631,Dell Inspiron 7420 INS14,DELL,Core i7,Intel,8,14.0,GeForce MX550 (2GB),Nvidia,512,SSD,Windows 11,1.6,Phongvu,30590000,https://phongvu.vn/dell-inspiron-7420-ins14-1yt85--s220707588?sku=220707588
