id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
84469399,3109907924663,"Mô tả sản Phẩm✪ Chỉ cần cắm vào cổng Usb của máy tính hoặc sạc dự phòng để sử dụng.✪ Độ sáng mạnh, thích hợp để đọc sách, làm việc ban đêm hoặc dùng khi cúp điện, đi cắm trại.✪ Độ bền bóng led dài lâu...",19900,19900,,0,0,0,,available,,1000,1000,,111461,OEM
75340681,9492807829235,"Hộp Đựng Đồ Đa Năng Sang Trọng, Lịch SựTúi Vải Đựng Quần Áo Chăn Màn Phong Cách Thụy ĐiểnHàng Chính Hãng miDoctor               Sau sự thành công của các dòng sản phẩm như: Túi Vải Đựng Chăn Màn, ...",77000,110000,,33000,30,686,,available,,1000,1000,,245945,miDoctor
197412247,3911525882066,"Sản phẩm của công ty Roichen Hàn Quốc - Sản xuất tại Hàn Quốc Công ty đã nhận được rất nhiều giải thưởng như Red Award, Design Award, Sản phẩm được người tiêu dùng bình chọn: 2011-2019 tại Hàn Quốc.Đ...",808000,898000,,90000,10,34,,available,,1000,1000,,5465099,Roichen
23476097,7626958315107,   ...,63000,64900,,1900,3,55,,available,,1000,1000,,111461,OEM
54133235,8773785239287,"Dung lượng: 2000mAhTuổi thọ cao và thời gian chờ lên đến 1 nămThiết kế để đảm bảo thời lượng pin dài nhấtĐạt hiệu suất cao và an toàn cho mọi thiết bịPin tương thích với mọi loại máy ảnh, đèn flash, t...",158500,235000,,76500,33,141,,available,,1000,1000,,19312,Energizer
152700947,2328297621872,"Thương hiệu : MyJaeTên sản phẩm : Bộ lau nhà thông mình xoay 360 độ lau sạch khô nhanh MyJaeMàu sắc : Trắng, Xanh láChất liệu : Thép không gỉ, nhựa, sợi microfiberBông lau sợi nhỏ thủ côn...",299000,690000,,391000,57,60,,available,,1000,1000,,3807547,MyJae
181410158,6881043604407,Bàn Học IGA Bàn Làm Việc Gỗ Decor Phong Cách Gaming Trẻ Trung - GM62 cứng cáp với 4 chân được làm bằng ống sắt tròn được sơn tĩnh điện với đường kính 50 mm trụ 4 góc bàn. Mặt bàn làm việc làm bằng vá...,328000,328000,,0,0,112,,available,,1000,1000,,523789,IGA
119112667,9704313662079,"Combo 2 Miếng Lau Nhà Parroti ProMAX PAD-PX01 - Kích Thước 38 x12 CMLưu ý: Miếng lau này chỉ dùng được cho Cây lau nhà Parroti ProMAX- CHẤT LIỆU MICRIFIBER: Siêu bền, hút nước tốt, lau cực sạch mọi ...",79000,145000,,66000,46,96,,available,,1000,1000,,746615,Parroti
182478500,2655658248234,"       Gối Tựa Lưng | Gối Tựa Sofa, Gối Vuông Trang Trí In Hoạt Tiết Hoa Lá Hiện Đại Kích Thước 45x45cm   * Đặc điểm sản phẩm:   - Lựa chọn các loại vải chất lượng cao, màu sắc tươi sáng, cảm th...",33000,33000,,0,0,0,,available,,1000,1000,,111461,OEM
204636320,6901560713600,"Kệ Nhà Bếp Chính Hãng ASWEI - Giá Dắt Dao Kéo Nhà BếpDụng Cụ Nhà Bếp Chính Hãng ASWEI - Giá Dắt Dao Treo Tường<img style=""margin-left:auto;margin-right:auto;"" src=""https://salt.tikicdn.com/ts/tmp/...",95000,183000,,88000,48,28,,available,,1000,1000,,7270983,Aswei
119030223,6424158958424,"TÍNH NĂNG SẢN PHẨM:️Chỉ cần 1 lớp keo mỏng đã tạo được mối nối trong suốt siêu chắc và tự nhiên, không tì vết.️Bề mặt keo nhẵn mịn ngay sau khi khô.️Keo dính cực mạnh, dính chắc và siêu bền.️Phù hợp v...",17000,32400,,15400,48,187,,available,,1000,1000,,46703,Deli
57867024,5400823422204,"Bộ Lau Nhà Xoay 360 Độ Sunhouse Ks-Cl350PO được thiết kế tiện dụng với thùng vắt làm bằng nhựa nguyên sinh PP siêu bền với màu cam bắt mắt. Kích thước phù hợp giúp bạn thoải mái giặt, vắt mà không lo ...",336000,518000,,182000,35,1137,,available,,1000,1000,,41048,Sunhouse
25412653,6898029781802,"CÂY LĂN BỤI QUẦN ÁOMUA 1 ĐƯỢC 3Điểm danh tất cả mn có chung nỗi khổ mùa đông quần áo cứ dính lông, bụi bẩn tả tơi Em đã thử rất nhiều loại nhưng ko cái nào nhanh- gọn -tiện bằng cây lăn bụi này mn ...",45000,45000,,0,0,20,,available,,1000,1000,,111461,OEM
55365176,5408782531210,"Túi zip có đặc điểm là dai, bền, được thiết kế có khóa miết do vậy ta có thể dán kín miệng túi mà không cần dùng chun hay dây để buộc túiTúi zip được dùng để đựng rất nhiều loại đồ dùng khác nhau nh...",52000,52000,,0,0,226,,available,,1000,1000,,7304105,Túi ni lông tự phân hủy sinh học GIMEX II
